N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
187,코스모화학,"36,900",250,+0.68%,"1,000","14,173","38,408",5.29,"265,493",-97.11,6.13,
188,LX세미콘,"85,200",200,+0.24%,500,"13,857","16,264",27.02,"26,836",20.80,26.70,
189,GS건설,"16,190",20,+0.12%,"5,000","13,856","85,581",18.84,"231,641",-5.51,7.18,
190,TCC스틸,"52,400","1,900",-3.50%,"1,000","13,736","26,214",6.61,"197,164",-433.06,16.54,
191,덴티움,"123,900","1,600",-1.27%,500,"13,714","11,069",18.66,"39,796",18.98,25.86,
192,롯데칠성,"147,800",300,-0.20%,500,"13,714","9,279",10.90,"4,793",11.08,9.11,
193,녹십자,"116,000","1,100",+0.96%,"5,000","13,556","11,687",17.92,"12,129",729.56,5.03,
194,SK네트웍스,"5,730",80,+1.42%,"2,500","13,510","235,778",10.82,"199,175",26.78,3.88,
195,솔루엠,"27,000",50,-0.18%,500,"13,501","50,006",18.87,"202,733",11.31,16.93,
196,코스맥스,"116,400","4,300",+3.84%,500,"13,211","11,350",28.87,"102,549",37.58,3.65,
197,대덕전자,"26,550",150,-0.56%,500,"13,120","49,417",9.12,"269,838",32.98,23.94,
198,KBSTAR 200,"33,905",115,+0.34%,0,"12,765","37,650",0.01,"78,927",N/A,N/A,
199,TIGER 2차전지테마,"26,635",155,+0.59%,0,"12,705","47,700",0.40,"730,785",N/A,N/A,
200,KODEX 단기채권PLUS,"108,625",15,+0.01%,0,"12,501","11,508",0.01,"2,026",N/A,N/A,
